date,buy_and_hold,yield_trend_63d,curve_mean_reversion,vol_scaled_trend,rule_blend,l1_logistic_walkforward
2021-07-19,1.0,1.0,-1.0,1.1478179438230447,0.19999999999999996,1.0
2021-07-20,1.0,1.0,-1.0,1.0653525140098516,0.19999999999999996,1.0
2021-07-21,1.0,1.0,-1.0,1.0559750804375696,0.19999999999999996,1.0
2021-07-22,1.0,1.0,-1.0,1.0248622813907364,0.19999999999999996,1.0
2021-07-23,1.0,1.0,-1.0,1.0215619245187995,0.19999999999999996,1.0
2021-07-26,1.0,1.0,-1.0,1.016390919836151,0.19999999999999996,1.0
2021-07-27,1.0,1.0,-1.0,1.0163380843240581,0.19999999999999996,1.0
2021-07-28,1.0,1.0,-1.0,1.0255411852600136,0.19999999999999996,1.0
2021-07-29,1.0,1.0,-1.0,1.0243675789743858,0.19999999999999996,1.0
2021-07-30,1.0,1.0,-1.0,1.024219634790784,0.19999999999999996,1.0
2021-08-02,1.0,1.0,-1.0,1.0184218590238074,0.19999999999999996,1.0
2021-08-03,1.0,1.0,-1.0,1.0135547935703628,0.19999999999999996,1.0
2021-08-04,1.0,1.0,-1.0,1.0143710900531073,0.19999999999999996,1.0
2021-08-05,1.0,1.0,-1.0,1.0150573327773813,0.19999999999999996,1.0
2021-08-06,1.0,1.0,-1.0,1.0043491086703666,0.19999999999999996,1.0
2021-08-09,1.0,1.0,-1.0,0.9726968527425799,0.19999999999999996,1.0
2021-08-10,1.0,1.0,-1.0,0.9752007848276681,0.19999999999999996,1.0
2021-08-11,1.0,1.0,-1.0,0.9707383396495672,0.19999999999999996,1.0
2021-08-12,1.0,1.0,-1.0,0.9838903488940863,0.19999999999999996,1.0
2021-08-13,1.0,1.0,-1.0,0.9856528477220607,0.19999999999999996,1.0
2021-08-16,1.0,1.0,-1.0,0.9692078854016821,0.19999999999999996,1.0
2021-08-17,1.0,1.0,-1.0,0.9676215982429793,0.19999999999999996,1.0
2021-08-18,1.0,1.0,-1.0,0.9676130773587531,0.19999999999999996,1.0
2021-08-19,1.0,1.0,-1.0,0.9756804271357568,0.19999999999999996,1.0
2021-08-20,1.0,1.0,-1.0,0.981536132304012,0.19999999999999996,1.0
2021-08-23,1.0,1.0,-1.0,0.9785547420388278,0.19999999999999996,1.0
2021-08-24,1.0,1.0,-1.0,0.979379009832363,0.19999999999999996,1.0
2021-08-25,1.0,1.0,-1.0,0.9790765158824201,0.19999999999999996,1.0
2021-08-26,1.0,1.0,-1.0,0.9631900004465178,0.19999999999999996,1.0
2021-08-27,1.0,1.0,-1.0,0.9679408367965108,0.19999999999999996,1.0
2021-08-30,1.0,1.0,-1.0,0.9678702584482208,0.19999999999999996,1.0
2021-08-31,1.0,1.0,-1.0,0.9755312079237761,0.19999999999999996,1.0
2021-09-01,1.0,1.0,-1.0,0.9773206052041442,0.19999999999999996,1.0
2021-09-02,1.0,1.0,-1.0,0.9853001452510077,0.19999999999999996,1.0
2021-09-03,1.0,1.0,-1.0,1.0041118282863788,0.19999999999999996,1.0
2021-09-07,1.0,1.0,0.0,0.9955384651430078,0.6,1.0
2021-09-08,1.0,1.0,0.0,0.9884885925345368,0.6,1.0
2021-09-09,1.0,1.0,0.0,0.9884435992465953,0.6,1.0
2021-09-10,1.0,1.0,0.0,0.9882948295111498,0.6,1.0
2021-09-13,1.0,1.0,0.0,0.977875320168227,0.6,1.0
2021-09-14,1.0,1.0,0.0,0.9845729743357747,0.6,1.0
2021-09-15,1.0,1.0,0.0,0.9745548667992466,0.6,1.0
2021-09-16,1.0,1.0,0.0,0.9876685678947836,0.6,1.0
2021-09-17,1.0,1.0,0.0,0.9924089773240458,0.6,1.0
2021-09-20,1.0,1.0,0.0,1.0096424670144843,0.6,1.0
2021-09-21,1.0,1.0,0.0,1.006311618052389,0.6,1.0
2021-09-22,1.0,1.0,0.0,1.0052343039081935,0.6,1.0
2021-09-23,1.0,1.0,0.0,1.0074455073938504,0.6,1.0
2021-09-24,1.0,1.0,0.0,0.9678630944970829,0.6,1.0
2021-09-27,1.0,1.0,1.0,0.9628608834825253,1.0,1.0
2021-09-28,1.0,1.0,1.0,0.9730019582056814,1.0,1.0
2021-09-29,1.0,-1.0,1.0,-0.9576478055462947,-0.19999999999999996,1.0
2021-09-30,1.0,-1.0,1.0,-0.9646110497755954,-0.19999999999999996,1.0
2021-10-01,1.0,-1.0,1.0,-0.9640136145466178,-0.19999999999999996,1.0
2021-10-04,1.0,-1.0,1.0,-0.9640373011950185,-0.19999999999999996,1.0
2021-10-05,1.0,-1.0,1.0,-0.986528912533433,-0.19999999999999996,1.0
2021-10-06,1.0,-1.0,1.0,-0.9847400282056693,-0.19999999999999996,1.0
2021-10-07,1.0,-1.0,1.0,-0.9891643072184887,-0.19999999999999996,1.0
2021-10-08,1.0,-1.0,1.0,-1.0003890558048316,-0.19999999999999996,1.0
2021-10-12,1.0,-1.0,1.0,-0.9973007220687737,-0.19999999999999996,1.0
2021-10-13,1.0,-1.0,1.0,-1.001282855783888,-0.19999999999999996,1.0
2021-10-14,1.0,-1.0,1.0,-1.009798647724922,-0.19999999999999996,1.0
2021-10-15,1.0,-1.0,1.0,-1.0207829490503404,-0.19999999999999996,1.0
2021-10-18,1.0,-1.0,1.0,-0.9993733072578431,-0.19999999999999996,1.0
2021-10-19,1.0,-1.0,1.0,-1.0862509026694527,-0.19999999999999996,1.0
2021-10-20,1.0,-1.0,1.0,-1.0762607077604134,-0.19999999999999996,1.0
2021-10-21,1.0,-1.0,1.0,-1.1021436652829133,-0.19999999999999996,1.0
2021-10-22,1.0,-1.0,1.0,-1.1071089635054148,-0.19999999999999996,1.0
2021-10-25,1.0,-1.0,1.0,-1.1065061602787243,-0.19999999999999996,1.0
2021-10-26,1.0,-1.0,1.0,-1.1038563584259824,-0.19999999999999996,1.0
2021-10-27,1.0,-1.0,1.0,-1.1162482618863552,-0.19999999999999996,1.0
2021-10-28,1.0,-1.0,0.0,-1.0608346409460756,-0.6,1.0
2021-10-29,1.0,-1.0,0.0,-1.058594085524465,-0.6,1.0
2021-11-01,1.0,-1.0,0.0,-1.0668378456175227,-0.6,1.0
2021-11-02,1.0,-1.0,0.0,-1.0758575388581588,-0.6,1.0
2021-11-03,1.0,-1.0,0.0,-1.0733688867121653,-0.6,1.0
2021-11-04,1.0,-1.0,0.0,-1.0669716798140996,-0.6,1.0
2021-11-05,1.0,-1.0,0.0,-1.0418844110407226,-0.6,1.0
2021-11-08,1.0,-1.0,-1.0,-1.0368591284920925,-1.0,1.0
2021-11-09,1.0,-1.0,-1.0,-1.0211622858841929,-1.0,1.0
2021-11-10,1.0,-1.0,-1.0,-1.0113525224234285,-1.0,1.0
2021-11-12,1.0,-1.0,-1.0,-0.9677320589996674,-1.0,1.0
2021-11-15,1.0,-1.0,-1.0,-0.9667531516142548,-1.0,1.0
2021-11-16,1.0,-1.0,-1.0,-0.9826542967467407,-1.0,1.0
2021-11-17,1.0,-1.0,-1.0,-0.9884453973610318,-1.0,1.0
2021-11-18,1.0,-1.0,-1.0,-0.9827745188189492,-1.0,1.0
2021-11-19,1.0,-1.0,-1.0,-0.9818173946145433,-1.0,1.0
2021-11-22,1.0,-1.0,-1.0,-0.973918950073134,-1.0,1.0
2021-11-23,1.0,-1.0,-1.0,-0.9446984344295177,-1.0,1.0
2021-11-24,1.0,-1.0,-1.0,-0.9413068654733396,-1.0,1.0
2021-11-26,1.0,-1.0,-1.0,-0.9408766189568923,-1.0,1.0
2021-11-29,1.0,-1.0,-1.0,-0.8597316537000684,-1.0,1.0
2021-11-30,1.0,-1.0,-1.0,-0.8559430115585971,-1.0,1.0
2021-12-01,1.0,-1.0,-1.0,-0.834311125110918,-1.0,0.0
2021-12-02,1.0,-1.0,-1.0,-0.8356841618543758,-1.0,0.0
2021-12-03,1.0,-1.0,-1.0,-0.8356900977674385,-1.0,0.0
2021-12-06,1.0,-1.0,-1.0,-0.8132439768203591,-1.0,0.0
2021-12-07,1.0,-1.0,-1.0,-0.7986571350112125,-1.0,1.0
2021-12-08,1.0,-1.0,-1.0,-0.796629696680238,-1.0,1.0
2021-12-09,1.0,-1.0,-1.0,-0.798820877673054,-1.0,1.0
2021-12-10,1.0,-1.0,-1.0,-0.7988467130505678,-1.0,1.0
2021-12-13,1.0,-1.0,-1.0,-0.805399537700277,-1.0,1.0
2021-12-14,1.0,-1.0,-1.0,-0.8016635579275571,-1.0,1.0
2021-12-15,1.0,-1.0,-1.0,-0.8019596082056807,-1.0,1.0
2021-12-16,1.0,-1.0,-1.0,-0.8070254335813599,-1.0,1.0
2021-12-17,1.0,-1.0,-1.0,-0.8062907644562622,-1.0,1.0
2021-12-20,1.0,-1.0,-1.0,-0.8058352183972748,-1.0,1.0
