date,US1M,US3M,US6M,US1Y,US2Y,US3Y,US5Y,US7Y,US10Y,US20Y,US30Y,SMA_5,SMA_20,RSI_14,Signal,Position,Yield_Return,Strategy_Return,Cumulative_Yield,Cumulative_Strategy,Target,SMA_diff,pct_change,lag_1,lag_2,volatility_3d,momentum_3d,roc_5d,rolling_sharpe_5,z_score_10,volatility_band,momentum_z,roc_volatility,prob,Daily_Return,Cumulative_Return,Benchmark_CumReturn,MACD,BB_width,RSI_trend,PC1,PC2,PC3
2001-11-13,1.94,1.84,1.86,2.07,2.54,2.96,3.69,4.17,4.41,5.1,4.92,4.325,4.499333333333334,45.73838169451302,-0.8240780436094737,0.0,0.0161290322580645,0.0,108.6206896551715,349.489762773154,1,-1.600421334836197,0.0161290322580645,1.0159210319366532,0.9974982077133504,0.11838633435785371,1.5534920182316354,0.6544482401986623,0.573215952373355,1.1295518106323275,-0.05945355349325259,0.9398764992285478,0.5024882285971428,0.4713221577849406,0.0,1.0,0.9586956521739142,-2.453208681272123,0.5866835060541986,-0.8801678632236191,0.7321324022712843,0.33930486657491193,-3.248252427699001
2001-11-14,1.99,1.87,1.9,2.13,2.7,3.11,3.83,4.31,4.54,5.2,5.02,4.335,4.499,54.07819861765841,-0.8240780436094737,0.0,0.0294784580498865,0.0,111.82266009852124,349.489762773154,1,-1.5070535722491984,0.0294784580498865,1.0781918188646,1.0152928405914896,0.3729213170191632,1.7549772506209915,1.5534223777514589,1.118342810789616,2.011442906733221,0.23911291916910607,2.7565202815597245,1.4172070864116924,0.47163627013255305,0.0,1.0,0.9869565217391315,-1.873821844697568,0.5473948425806171,-0.4508728677671095,2.4742364741295457,-0.015339262705980761,-3.4021955632215133
2001-11-21,2.0,1.96,2.02,2.38,3.11,3.58,4.31,4.78,4.98,5.59,5.35,4.619,4.554333333333333,68.0180873954937,2.006594302317931,0.0,0.0204918032786887,0.0204918032786887,122.66009852216648,362.4173031580274,1,0.5590846579015879,0.0204918032786887,1.4962956739522422,1.424569396788698,0.7834248153715,0.5031919516042492,2.6864358642983133,1.3099654919722636,1.1619620313971266,1.250367185406363,-0.21503231245134033,3.5975398289043485,0.47401733600632434,0.0,1.0,1.0071810406272286,-1.176263469900459,0.5961369796539657,0.0351678943498825,4.12276123802452,0.3287019319125561,-0.49465981064108006
2001-11-23,2.0,1.95,2.02,2.41,3.2,3.68,4.4,4.83,5.04,5.65,5.39,4.701,4.568666666666667,69.7407400533707,2.006594302317931,0.0,0.0120481927710842,0.0120481927710842,124.13793103448174,366.7837766900518,1,1.1704929096808963,0.0120481927710842,1.5852539409921664,1.4957479283012562,0.32755680796121533,1.7233687866550806,1.4535826641996203,1.0550594533664617,1.1318821207494256,0.23033125656560782,1.1334519693355047,1.3191981633139414,0.46868227665541884,0.0,1.0,1.0193157519600866,-0.4823425615184162,0.7304110570538144,0.22468087011049803,3.2735268787121212,0.8400830300535256,0.532871173536442
2001-11-26,2.0,1.98,2.04,2.43,3.22,3.7,4.41,4.85,5.05,5.66,5.39,4.774,4.580666666666667,70.0304787649127,-0.8240780436094737,0.0,0.0019841269841269,-0.0005,124.38423645320096,366.6003848017068,0,1.7216638952750647,0.0019841269841269,1.6386289012161206,1.5847210926919544,-0.31882247956010196,1.2057154177706644,0.8008600189137524,0.6632469495283082,0.9865347297476312,0.026637376355480014,0.3754378416603597,0.6484801660692862,0.44483680786859703,0.0,1.0,1.0213382038488963,0.09047977228440837,0.8231557921343275,0.6808671450790503,2.185692982536358,1.495547295566874,0.04749492000556307
2001-11-27,2.01,1.92,1.98,2.36,3.11,3.58,4.32,4.77,4.98,5.64,5.37,4.838,4.5906666666666665,65.31582947614035,0.5912581293542287,0.0,-0.0138613861386137,-0.0,122.6600985221665,366.6003848017068,0,2.2095857513748167,-0.0138613861386137,1.6475247279201126,1.6381049913263726,-0.6107177783051448,0.016511732495653176,1.048586078178099,1.0438499276695075,0.6337548046991344,-0.3724685602648792,-0.774153179399564,0.6843510061903681,0.4465747818621627,-0.0,1.0,1.0071810406272286,0.3853511722071628,0.8265022632365582,0.833029335060951,2.1935862538708637,2.0294390981532096,1.3900505739294078
2001-11-28,1.96,1.87,1.92,2.26,3.12,3.6,4.33,4.76,4.98,5.63,5.36,4.8950000000000005,4.602666666666667,65.31582947614035,0.5912581293542287,0.0,0.0,0.0,122.6600985221665,366.6003848017068,0,2.616187298124607,0.0,1.5852539409921664,1.647002307765442,-1.1411234456948132,-0.38988280420896876,0.5797438317098962,0.6322254682172883,0.5347348976500554,-0.4647244237689311,-0.9763583369927021,0.34683419097560475,0.44245151572567354,0.0,1.0,1.0071810406272286,0.6135714766164815,0.7936991257048539,1.9760447987390963,1.8446453662666615,2.3238408191729523,2.0110359467242764
2001-11-29,1.9,1.8,1.8,2.03,2.87,3.33,4.1,4.56,4.79,5.52,5.24,4.92,4.609333333333334,53.89417424581721,0.5912581293542287,0.0,-0.0381526104417671,-0.0,117.98029556650152,366.6003848017068,0,2.7818397801337746,-0.0381526104417671,1.5852539409921664,1.5847210926919544,0.45114594867143903,-1.7410440460447443,-1.0368284082535515,-0.6731842415011887,-1.0602038539073877,0.28658793078124106,1.2620847252000502,-1.0095383275809362,0.4498282183695876,-0.0,1.0,0.9687544547398443,0.36767650738926955,0.7203623154706169,1.6909625356441313,-1.0595395998089756,0.7817962251264671,3.025053290898467
2001-11-30,1.87,1.78,1.79,2.06,2.84,3.3,4.08,4.55,4.78,5.54,5.27,4.9190000000000005,4.615666666666667,53.36524185344831,0.5912581293542287,0.0,-0.0020876826722338,-0.0,117.7339901477823,366.6003848017068,0,2.7155787873301125,-0.0020876826722338,1.4162332336163108,1.5847210926919544,-0.06717569204143342,-1.3544577889175407,-1.4071645985321173,-1.1034762793481117,-1.1203810259000373,-0.03393039930502345,0.8998662873203198,-1.1705611094904838,0.444611946050588,-0.0,1.0,0.9667320028510347,0.1503527223031547,0.6837736202296372,0.954148558399987,-1.626409646724412,1.1088713904813488,2.926493524965575
2001-12-03,1.85,1.78,1.81,2.08,2.82,3.28,4.04,4.51,4.75,5.49,5.26,4.9030000000000005,4.621333333333333,51.72515780477576,0.5912581293542287,0.0,-0.0062761506276151,-0.0,116.99507389162468,366.6003848017068,0,2.5198076722283624,-0.0062761506276151,1.4073374069123186,1.4156720803496285,0.20912349452766635,-1.5601032171295244,-1.6226905791117694,-1.3861637216170162,-1.0913321900824398,-0.170597293841559,1.1034135219356485,-1.2527391208331302,0.4434764348070795,-0.0,1.0,0.9606646471846055,-0.0862459184317157,0.6661317398822829,1.1419718151981861,-1.9666111184361321,0.8867869418951324,2.815132071203887
